AID,SLID,ELID
1,1,9
2,10,54
3,55,62
4,63,71
5,72,116
6,117,128
7,129,137
8,138,147
9,148,279
10,280,411
11,412,583
12,584,755
13,756,957
14,958,1089
15,1090,1257
16,1258,1553
17,1554,1849
18,1850,2617
19,2618,3193
20,3194,4547
21,4548,5315
22,5316,6669
23,6670,6731
24,6732,6787
25,6788,6853
26,6854,6933
27,6934,7013
28,7014,7089
29,7090,7153
30,7154,7221
31,7222,7283
32,7284,7347
33,7348,7407
34,7408,7483
35,7484,7651
36,7652,7735
37,7736,7787
38,7788,7855
39,7856,7923
40,7924,7985
41,7986,8043
42,8044,8097
43,8098,8159
44,8160,8229
45,8230,8361
46,8362,8429
47,8430,8565
48,8566,8649
49,8650,8719
50,8720,8855
51,8856,8919
52,8920,9223
53,9224,9285
54,9286,9355
55,9356,9931
56,9932,9999
57,10000,10055
58,10056,10121
59,10122,10425
60,10426,10501
61,10502,10581
62,10582,10661
63,10662,10711
64,10712,10777
65,10778,10841
66,10842,10921
67,10922,11001
68,11002,11077
69,11078,11137
70,11138,11191
71,11192,11257
72,11258,11341
73,11342,11543
74,11544,11681
75,11682,11765
76,11766,11903
77,11904,11971
78,11972,12027
79,12028,12103
80,12104,12171
