DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1021,1.57133,0,9e+10,0,0,2.00196,2.00196
2,0.982452,1022,-1.57027,0,9e+10,0,0,2.00196,2.00196
3,1.9649,1023,-1.57027,0,9e+10,0,0,2.00196,2.00196
4,2.94736,1024,-1.57027,0,9e+10,0,0,2.00196,2.00196
5,3.92981,1025,-1.57027,0,9e+10,0,0,2.00196,2.00196
6,4.91226,1026,-1.57027,0,9e+10,0,0,2.00196,2.00196
7,5.89471,1027,-1.57027,0,9e+10,0,0,2.00196,2.00196
8,6.87716,1028,-1.57027,0,9e+10,0,0,2.00196,2.00196
9,7.85962,1029,-1.57027,0,9e+10,0,0,2.00196,2.00196
10,8.84207,1030,-1.57027,0,9e+10,0,0,2.00196,2.00196
11,9.82452,1031,-1.57027,0,9e+10,0,0,2.00196,2.00196
12,10.807,1032,-1.57027,0,9e+10,0,0,2.00196,2.00196
13,11.7894,1033,-1.57027,0,9e+10,0,0,2.00196,2.00196
14,12.7719,1034,-1.57027,0,9e+10,0,0,2.00196,2.00196
15,13.7543,1035,-1.57027,0,9e+10,0,0,2.00196,2.00196
16,14.7368,1036,-1.57027,0,9e+10,0,0,2.00196,2.00196
17,15.7192,1037,-1.57027,0,9e+10,0,0,2.00196,2.00196
18,16.7017,1038,-1.57027,0,9e+10,0,0,2.00196,2.00196
19,17.6841,1039,-1.57027,0,9e+10,0,0,2.00196,2.00196
20,18.6666,1040,-1.57027,0,9e+10,0,0,2.00196,2.00196
21,19.649,1041,-1.57027,0,9e+10,0,0,2.00196,2.00196
22,20.6315,1042,-1.57027,0,9e+10,0,0,2.00196,2.00196
23,21.6139,1043,-1.57027,0,9e+10,0,0,2.00196,2.00196
24,22.5964,1044,-1.57027,0,9e+10,0,0,2.00196,2.00196
25,23.5788,1045,-1.57027,0,9e+10,0,0,2.00196,2.00196
26,24.5613,1046,-1.57027,0,9e+10,0,0,2.00196,2.00196
27,25.5438,1047,-1.57027,0,9e+10,0,0,2.00196,2.00196
28,26.5262,1048,-1.57027,0,9e+10,0,0,2.00196,2.00196
29,27.5087,1049,-1.57027,0,9e+10,0,0,2.00196,2.00196
30,28.4911,1050,-1.57027,0,9e+10,0,0,2.00196,2.00196
31,29.4736,1051,-1.57027,0,9e+10,0,0,2.00196,2.00196
32,30.456,1052,-1.57027,0,9e+10,0,0,2.00196,2.00196
33,31.4385,1053,-1.57027,0,9e+10,0,0,2.00196,2.00196
34,32.4209,1054,-1.57027,0,9e+10,0,0,2.00196,2.00196
35,33.4034,1055,-1.57027,0,9e+10,0,0,2.00196,2.00196
36,34.3858,1056,-1.57027,0,9e+10,0,0,2.00196,2.00196
37,35.3683,1057,-1.57027,0,9e+10,0,0,2.00196,2.00196
38,36.3507,1058,-1.56674,0,9e+10,0,0,2.00196,2.00196
39,37.3331,1059,-1.5353,0,9e+10,0,0,2.00888,1.99503
40,38.3139,1060,-1.43916,0,9e+10,0,0,2.00838,1.99379
41,39.2947,1061,-1.291,0,9e+10,0,0,2.00108,2.00108
42,40.2758,1062,-1.13023,0,9e+10,0,0,2.00498,1.99719
43,41.255,1063,-0.96976,0,9e+10,0,0,2.02345,1.97872
44,42.2306,1064,-0.812805,0,9e+10,0,0,2.05238,1.94979
45,43.2012,1065,-0.660085,0,9e+10,0,0,2.08989,1.91244
46,44.1659,1066,-0.509052,0,9e+10,0,0,2.13721,1.86511
47,45.1223,1067,-0.363291,0,9e+10,0,0,2.19596,1.80636
48,46.0719,1068,-0.256875,0,9e+10,0,0,2.2573,1.74503
49,47.0306,1069,-0.192651,0,9e+10,0,0,2.25274,1.74958
50,47.9996,1070,-0.136849,0,9e+10,0,0,2.16945,1.83414
51,48.9759,1071,-0.0810602,0,9e+10,0,0,2.063,1.94091
52,49.9566,1072,-0.029932,0,9e+10,0,0,2.00971,1.9942
53,50.9389,1073,-0.00274797,0,9e+10,0,0,2.00196,2.00196
54,51.9214,1074,0.00119987,0,9e+10,0,0,2.00196,2.00196
55,52.9038,1075,0.00119987,0,9e+10,0,0,2.00196,2.00196
56,53.8863,1076,0.00119986,0,9e+10,0,0,2.00196,2.00196
57,54.8687,1077,0.00119985,0,9e+10,0,0,2.00196,2.00196
58,55.8512,1078,0.00119984,0,9e+10,0,0,2.00196,2.00196
59,56.8336,1079,0.00119983,0,9e+10,0,0,2.00196,2.00196
60,57.8161,1080,0.00119983,0,9e+10,0,0,2.00196,2.00196
61,58.7985,1081,0.00119982,0,9e+10,0,0,2.00196,2.00196
62,59.781,1082,0.00119981,0,9e+10,0,0,2.00196,2.00196
63,60.7634,1083,0.0011998,0,9e+10,0,0,2.00196,2.00196
64,61.7459,1084,0.00119979,0,9e+10,0,0,2.00196,2.00196
65,62.7283,1085,0.00119978,0,9e+10,0,0,2.00196,2.00196
66,63.7108,1086,0.00119978,0,9e+10,0,0,2.00196,2.00196
67,64.6932,1087,0.00119977,0,9e+10,0,0,2.00196,2.00196
68,65.6757,1088,0.00119976,0,9e+10,0,0,2.00196,2.00196
69,66.6581,1089,0.00119975,0,9e+10,0,0,2.00196,2.00196
70,67.6406,1090,0.00119974,0,9e+10,0,0,2.00196,2.00196
71,68.6231,1091,0.00119974,0,9e+10,0,0,2.00196,2.00196
72,69.6055,1092,0.00119973,0,9e+10,0,0,2.00196,2.00196
73,70.588,1093,0.00119972,0,9e+10,0,0,2.00196,2.00196
74,71.5704,1094,0.00119971,0,9e+10,0,0,2.00196,2.00196
75,72.5529,1095,0.0011997,0,9e+10,0,0,2.00196,2.00196
76,73.5353,1096,0.0011997,0,9e+10,0,0,2.00196,2.00196
77,74.5178,1097,0.00119969,0,9e+10,0,0,2.00196,2.00196
78,75.5002,1098,0.00119968,0,9e+10,0,0,2.00196,2.00196
79,76.4827,1099,0.00119967,0,9e+10,0,0,2.00196,2.00196
80,77.4651,1100,0.00119966,0,9e+10,0,0,2.00196,2.00196
81,78.4476,1101,0.00119965,0,9e+10,0,0,2.00196,2.00196
82,79.43,1102,0.00119965,0,9e+10,0,0,2.00196,2.00196
83,80.4125,1103,0.00119964,0,9e+10,0,0,2.00196,2.00196
84,81.3949,1104,0.00119963,0,9e+10,0,0,2.00196,2.00196
85,82.3774,1105,0.00119962,0,9e+10,0,0,2.00196,2.00196
86,83.3598,1106,0.00119961,0,9e+10,0,0,2.00196,2.00196
87,84.3423,1107,0.00119961,0,9e+10,0,0,2.00196,2.00196
88,85.3247,1108,0.0011996,0,9e+10,0,0,2.00196,2.00196
89,86.3072,1109,0.00119959,0,9e+10,0,0,2.00196,2.00196
90,87.2896,1110,0.00119958,0,9e+10,0,0,2.00196,2.00196
91,88.2721,1111,0.00119957,0,9e+10,0,0,2.00196,2.00196
92,89.2545,1112,0.00119957,0,9e+10,0,0,2.00196,2.00196
93,90.237,1113,0.00119956,0,9e+10,0,0,2.00196,2.00196
94,91.2194,1114,0.00119955,0,9e+10,0,0,2.00196,2.00196
95,92.2019,1115,0.00119954,0,9e+10,0,0,2.00196,2.00196
96,93.1843,1116,0.00119953,0,9e+10,0,0,2.00196,2.00196
97,94.1668,1117,0.00119952,0,9e+10,0,0,2.00196,2.00196
98,95.1493,1118,0.00119952,0,9e+10,0,0,2.00196,2.00196
99,96.1317,1119,0.00119951,0,9e+10,0,0,2.00196,2.00196
100,97.1142,1120,0.0011995,0,9e+10,0,0,2.00196,2.00196
101,98.0966,1121,0.00119949,0,9e+10,0,0,2.00196,2.00196
102,99.0791,1122,0.00119948,0,9e+10,0,0,2.00196,2.00196
103,100.062,1123,0.00119948,0,9e+10,0,0,2.00196,2.00196
104,101.044,1124,0.00119947,0,9e+10,0,0,2.00196,2.00196
105,102.026,1125,0.00119946,0,9e+10,0,0,2.00196,2.00196
106,103.009,1126,0.00119945,0,9e+10,0,0,2.00196,2.00196
107,103.991,1127,0.00119944,0,9e+10,0,0,2.00196,2.00196
108,104.974,1128,0.00119944,0,9e+10,0,0,2.00196,2.00196
109,105.956,1129,0.00119943,0,9e+10,0,0,2.00196,2.00196
110,106.939,1130,0.00119942,0,9e+10,0,0,2.00196,2.00196
111,107.921,1131,0.00119941,0,9e+10,0,0,2.00196,2.00196
112,108.904,1132,0.0011994,0,9e+10,0,0,2.00196,2.00196
113,109.886,1133,0.0011994,0,9e+10,0,0,2.00196,2.00196
114,110.868,1134,0.00119939,0,9e+10,0,0,2.00196,2.00196
115,111.851,1135,0.00119938,0,9e+10,0,0,2.00196,2.00196
116,112.833,1136,0.00119937,0,9e+10,0,0,2.00196,2.00196
117,113.816,1137,0.00119936,0,9e+10,0,0,2.00196,2.00196
118,114.798,1138,0.00119935,0,9e+10,0,0,2.00196,2.00196
119,115.781,1139,0.00119935,0,9e+10,0,0,2.00196,2.00196
120,116.763,1140,0.00119934,0,9e+10,0,0,2.00196,2.00196
121,117.746,1141,0.00119933,0,9e+10,0,0,2.00196,2.00196
122,118.728,1142,0.00119932,0,9e+10,0,0,2.00196,2.00196
123,119.711,1143,0.00119931,0,9e+10,0,0,2.00196,2.00196
124,120.693,1144,0.00119931,0,9e+10,0,0,2.00196,2.00196
125,121.675,1145,0.0011993,0,9e+10,0,0,2.00196,2.00196
126,122.658,1146,0.00119929,0,9e+10,0,0,2.00196,2.00196
127,123.64,1147,0.00119056,0,9e+10,0,0,2.00196,2.00196
128,124.623,1148,0.000969434,0,9e+10,0,0,2.00194,2.00197
129,125.605,1149,0.000630834,0,9e+10,0,0,2.00151,2.0024
130,126.588,1150,0.000405596,0,9e+10,0,0,2.00141,2.0025
131,127.57,1151,6.54575e-05,0,9e+10,0,0,2.00192,2.00199
132,128.553,1152,-0.000193707,0,9e+10,0,0,2.00196,2.00196
133,129.535,1153,-0.000211776,0,9e+10,0,0,2.00196,2.00196
134,130.518,1154,-0.000211784,0,9e+10,0,0,2.00196,2.00196
135,131.5,1155,-0.000211792,0,9e+10,0,0,2.00196,2.00196
136,132.482,1156,-0.0002118,0,9e+10,0,0,2.00196,2.00196
137,133.465,1157,-0.000211808,0,9e+10,0,0,2.00196,2.00196
138,134.447,1158,-0.000211817,0,9e+10,0,0,2.00196,2.00196
139,135.43,1159,-0.000211825,0,9e+10,0,0,2.00196,2.00196
140,136.412,1160,-0.000211833,0,9e+10,0,0,2.00196,2.00196
141,137.395,1161,-0.000211841,0,9e+10,0,0,2.00196,2.00196
142,138.377,1162,-0.000211849,0,9e+10,0,0,2.00196,2.00196
143,139.36,1163,-0.000211857,0,9e+10,0,0,2.00196,2.00196
144,140.342,1164,-0.000211865,0,9e+10,0,0,2.00196,2.00196
145,141.324,1165,-0.000211873,0,9e+10,0,0,2.00196,2.00196
146,142.307,1166,-0.000211882,0,9e+10,0,0,2.00196,2.00196
147,143.289,1167,-0.00021189,0,9e+10,0,0,2.00196,2.00196
148,144.272,1168,-0.000211898,0,9e+10,0,0,2.00196,2.00196
149,145.254,1169,-0.000211906,0,9e+10,0,0,2.00196,2.00196
150,146.237,1170,-0.000211914,0,9e+10,0,0,2.00196,2.00196
151,147.219,1171,-0.000211922,0,9e+10,0,0,2.00196,2.00196
152,148.202,1172,-0.00021193,0,9e+10,0,0,2.00196,2.00196
153,149.184,1173,-0.000211938,0,9e+10,0,0,2.00196,2.00196
154,150.167,1174,-0.000211946,0,9e+10,0,0,2.00196,2.00196
155,151.149,1175,-0.000211955,0,9e+10,0,0,2.00196,2.00196
156,152.131,1176,-0.000211963,0,9e+10,0,0,2.00196,2.00196
157,153.114,1177,-0.000211971,0,9e+10,0,0,2.00196,2.00196
158,154.096,1178,-0.000211979,0,9e+10,0,0,2.00196,2.00196
159,155.079,1179,-0.000211987,0,9e+10,0,0,2.00196,2.00196
160,156.061,1180,-0.000211995,0,9e+10,0,0,2.00196,2.00196
161,157.044,1181,-0.000212003,0,9e+10,0,0,2.00196,2.00196
162,158.026,1182,-0.000212011,0,9e+10,0,0,2.00196,2.00196
163,159.009,1183,-0.00021202,0,9e+10,0,0,2.00196,2.00196
164,159.991,1184,-0.000212028,0,9e+10,0,0,2.00196,2.00196
165,160.974,1185,-0.000212036,0,9e+10,0,0,2.00196,2.00196
166,161.956,1186,-0.000212044,0,9e+10,0,0,2.00196,2.00196
167,162.938,1187,-0.000212052,0,9e+10,0,0,2.00196,2.00196
168,163.921,1188,-0.00021206,0,9e+10,0,0,2.00196,2.00196
169,164.903,1189,-0.000212068,0,9e+10,0,0,2.00196,2.00196
170,165.886,1190,-0.000212076,0,9e+10,0,0,2.00196,2.00196
171,166.868,1191,-0.000212085,0,9e+10,0,0,2.00196,2.00196
172,167.851,1192,-0.000212093,0,9e+10,0,0,2.00196,2.00196
173,168.833,1193,-0.000212101,0,9e+10,0,0,2.00196,2.00196
174,169.816,1194,-0.000212109,0,9e+10,0,0,2.00196,2.00196
175,170.798,1195,-0.000212117,0,9e+10,0,0,2.00196,2.00196
176,171.781,1196,-0.000212125,0,9e+10,0,0,2.00196,2.00196
177,172.763,1197,-0.000212133,0,9e+10,0,0,2.00196,2.00196
178,173.745,1198,-0.000212141,0,9e+10,0,0,2.00196,2.00196
179,174.728,1199,-0.000212149,0,9e+10,0,0,2.00196,2.00196
180,175.71,1200,-0.000212158,0,9e+10,0,0,2.00196,2.00196
181,176.693,1201,-0.000212166,0,9e+10,0,0,2.00196,2.00196
182,177.675,1202,-0.000212174,0,9e+10,0,0,2.00196,2.00196
183,178.658,1203,-0.000212182,0,9e+10,0,0,2.00196,2.00196
184,179.64,1204,-0.00021219,0,9e+10,0,0,2.00196,2.00196
185,180.623,1205,-0.000212198,0,9e+10,0,0,2.00196,2.00196
186,181.605,1206,-0.000212206,0,9e+10,0,0,2.00196,2.00196
187,182.587,1207,-0.000212214,0,9e+10,0,0,2.00196,2.00196
188,183.57,1208,-0.000212223,0,9e+10,0,0,2.00196,2.00196
189,184.552,1209,-0.000212231,0,9e+10,0,0,2.00196,2.00196
190,185.535,1210,-0.000212239,0,9e+10,0,0,2.00196,2.00196
191,186.517,1211,-0.000212247,0,9e+10,0,0,2.00196,2.00196
192,187.5,1212,-0.000212255,0,9e+10,0,0,2.00196,2.00196
193,188.482,1213,-0.000212263,0,9e+10,0,0,2.00196,2.00196
194,189.465,1214,-0.000212271,0,9e+10,0,0,2.00196,2.00196
195,190.447,1215,-0.000212279,0,9e+10,0,0,2.00196,2.00196
196,191.43,1216,-0.000212288,0,9e+10,0,0,2.00196,2.00196
