ID,LID,Width,Color,type,LinkID
1,26051,0.05,W,1,0
2,26052,0.05,W,1,0
3,26053,0.05,W,1,0
4,26054,0.05,W,1,0
5,26055,0.05,W,1,0
6,26056,0.05,W,1,0
7,26057,0.05,W,1,0
8,26058,0.05,W,1,0
9,26059,0.05,W,1,0
10,26060,0.05,W,1,0
11,26061,0.05,W,1,0
12,26062,0.05,W,1,0
13,26063,0.05,W,1,0
14,26064,0.05,W,1,0
15,26065,0.05,W,1,0
16,26066,0.05,W,1,0
17,26067,0.05,W,1,0
18,26068,0.05,W,1,0
19,26069,0.05,W,1,0
20,26070,0.05,W,1,0
21,26071,0.05,W,1,0
22,26072,0.05,W,1,0
23,26073,0.05,W,1,0
24,26074,0.05,W,1,0
25,26075,0.05,W,1,0
26,26076,0.05,W,1,0
27,26077,0.05,W,1,0
28,26078,0.05,W,1,0
29,26079,0.05,W,1,0
30,26080,0.05,W,1,0
31,26081,0.05,W,1,0
32,26082,0.05,W,1,0
33,26083,0.05,W,1,0
34,26084,0.05,W,1,0
35,26085,0.05,W,1,0
36,26086,0.05,W,1,0
37,26087,0.05,W,1,0
38,26088,0.05,W,1,0
39,26089,0.05,W,1,0
40,26090,0.05,W,1,0
41,26091,0.05,W,1,0
42,26092,0.05,W,1,0
43,26093,0.05,W,1,0
44,26094,0.05,W,1,0
45,26095,0.05,W,1,0
46,26096,0.05,W,1,0
47,26097,0.05,W,1,0
48,26098,0.05,W,1,0
49,26099,0.05,W,1,0
50,26100,0.05,W,1,0
51,26101,0.05,W,1,0
52,26102,0.05,W,1,0
53,26103,0.05,W,1,0
54,26104,0.05,W,1,0
55,26105,0.05,W,1,0
56,26106,0.05,W,1,0
57,26107,0.05,W,1,0
58,26108,0.05,W,1,0
59,26109,0.05,W,1,0
60,26110,0.05,W,1,0
61,26111,0.05,W,1,0
62,26112,0.05,W,1,0
63,26113,0.05,W,1,0
64,26114,0.05,W,1,0
65,26115,0.05,W,1,0
66,26116,0.05,W,1,0
67,26117,0.05,W,1,0
68,26118,0.05,W,1,0
69,26119,0.05,W,1,0
70,26120,0.05,W,1,0
71,26121,0.05,W,1,0
72,26122,0.05,W,1,0
73,26123,0.05,W,1,0
74,26124,0.05,W,1,0
75,26125,0.05,W,1,0
76,26126,0.05,W,1,0
77,26127,0.05,W,1,0
78,26128,0.05,W,1,0
79,26129,0.05,W,1,0
80,26130,0.05,W,1,0
81,26131,0.05,W,1,0
82,26132,0.05,W,1,0
83,26133,0.05,W,1,0
84,26134,0.05,W,1,0
85,26135,0.05,W,1,0
86,26136,0.05,W,1,0
87,26137,0.05,W,1,0
88,26138,0.05,W,1,0
89,26139,0.05,W,1,0
90,26140,0.05,W,1,0
91,26141,0.05,W,1,0
92,26142,0.05,W,1,0
93,26143,0.05,W,1,0
94,26144,0.05,W,1,0
95,26145,0.05,W,1,0
96,26146,0.05,W,1,0
97,26147,0.05,W,1,0
98,26148,0.05,W,1,0
99,26149,0.05,W,1,0
100,26150,0.05,W,1,0
101,26151,0.05,W,1,0
102,26152,0.05,W,1,0
103,26153,0.05,W,1,0
104,26154,0.05,W,1,0
105,26155,0.05,W,1,0
106,26156,0.05,W,1,0
107,26157,0.05,W,1,0
108,26158,0.05,W,1,0
109,26159,0.05,W,1,0
110,26160,0.05,W,1,0
111,26161,0.05,W,1,0
112,26162,0.05,W,1,0
113,26163,0.05,W,1,0
114,26164,0.05,W,1,0
115,26165,0.05,W,1,0
116,26166,0.05,W,1,0
117,26167,0.05,W,1,0
118,26168,0.05,W,1,0
119,26169,0.05,W,1,0
120,26170,0.05,W,1,0
121,26171,0.05,W,1,0
122,26172,0.05,W,1,0
123,26173,0.05,W,1,0
124,26174,0.05,W,1,0
125,26175,0.05,W,1,0
126,26176,0.05,W,1,0
127,26177,0.05,W,1,0
128,26178,0.05,W,1,0
129,26179,0.05,W,1,0
130,26180,0.05,W,1,0
131,26181,0.05,W,1,0
132,26182,0.05,W,1,0
133,26183,0.05,W,1,0
134,26184,0.05,W,1,0
135,26185,0.05,W,1,0
136,26186,0.05,W,1,0
137,26187,0.05,W,1,0
138,26188,0.05,W,1,0
139,26189,0.05,W,1,0
140,26190,0.05,W,1,0
141,26191,0.05,W,1,0
142,26192,0.05,W,1,0
143,26193,0.05,W,1,0
144,26194,0.05,W,1,0
145,26195,0.05,W,1,0
146,26196,0.05,W,1,0
147,26197,0.05,W,1,0
148,26198,0.05,W,1,0
149,26199,0.05,W,1,0
150,26200,0.05,W,1,0
151,26201,0.05,W,1,0
152,26202,0.05,W,1,0
153,26203,0.05,W,1,0
154,26204,0.05,W,1,0
155,26205,0.05,W,1,0
156,26206,0.05,W,1,0
157,26207,0.05,W,1,0
158,26208,0.05,W,1,0
159,26209,0.05,W,1,0
160,26210,0.05,W,1,0
161,26211,0.05,W,1,0
162,26212,0.05,W,1,0
163,26213,0.05,W,1,0
164,26214,0.05,W,1,0
165,26215,0.05,W,1,0
166,26216,0.05,W,1,0
167,26217,0.05,W,1,0
168,26218,0.05,W,1,0
169,26219,0.05,W,1,0
170,26220,0.05,W,1,0
171,26221,0.05,W,1,0
172,26222,0.05,W,1,0
173,26223,0.05,W,1,0
174,26224,0.05,W,1,0
175,26225,0.05,W,1,0
176,26226,0.05,W,1,0
177,26227,0.05,W,1,0
178,26228,0.05,W,1,0
179,26229,0.05,W,1,0
180,26230,0.05,W,1,0
181,26231,0.05,W,1,0
182,26232,0.05,W,1,0
183,26233,0.05,W,1,0
184,26234,0.05,W,1,0
185,26235,0.05,W,1,0
186,26236,0.05,W,1,0
187,26237,0.05,W,1,0
188,26238,0.05,W,1,0
189,26239,0.05,W,1,0
190,26240,0.05,W,1,0
191,26241,0.05,W,1,0
192,26242,0.05,W,1,0
193,26243,0.05,W,1,0
194,26244,0.05,W,1,0
195,26245,0.05,W,1,0
196,26246,0.05,W,1,0
197,26247,0.05,W,1,0
198,26248,0.05,W,1,0
199,26249,0.05,W,1,0
200,26250,0.05,W,1,0
201,26251,0.05,W,1,0
202,26252,0.05,W,1,0
203,26253,0.05,W,1,0
204,26254,0.05,W,1,0
205,26255,0.05,W,1,0
206,26256,0.05,W,1,0
207,26257,0.05,W,1,0
208,26258,0.05,W,1,0
209,26259,0.05,W,1,0
210,26260,0.05,W,1,0
211,26261,0.05,W,1,0
212,26262,0.05,W,1,0
213,26263,0.05,W,1,0
214,26264,0.05,W,1,0
215,26265,0.05,W,1,0
216,26266,0.05,W,1,0
217,26267,0.05,W,1,0
218,26268,0.05,W,1,0
219,26269,0.05,W,1,0
220,26270,0.05,W,1,0
221,26271,0.05,W,1,0
222,26272,0.05,W,1,0
223,26273,0.05,W,1,0
224,26274,0.05,W,1,0
225,26275,0.05,W,1,0
226,26276,0.05,W,1,0
227,26277,0.05,W,1,0
228,26278,0.05,W,1,0
229,26279,0.05,W,1,0
230,26280,0.05,W,1,0
231,26281,0.05,W,1,0
232,26282,0.05,W,1,0
233,26283,0.05,W,1,0
234,26284,0.05,W,1,0
235,26285,0.05,W,1,0
236,26286,0.05,W,1,0
237,26287,0.05,W,1,0
238,26288,0.05,W,1,0
239,26289,0.05,W,1,0
240,26290,0.05,W,1,0
241,26291,0.05,W,1,0
242,26292,0.05,W,1,0
243,26293,0.05,W,1,0
244,26294,0.05,W,1,0
245,26295,0.05,W,1,0
246,26296,0.05,W,1,0
247,26297,0.05,W,1,0
248,26298,0.05,W,1,0
249,26299,0.05,W,1,0
250,26300,0.05,W,1,0
251,26301,0.05,W,1,0
252,26302,0.05,W,1,0
253,26303,0.05,W,1,0
254,26304,0.05,W,1,0
255,26305,0.05,W,1,0
256,26306,0.05,W,1,0
257,26307,0.05,W,1,0
258,26308,0.05,W,1,0
259,26309,0.05,W,1,0
260,26310,0.05,W,1,0
261,26311,0.05,W,1,0
262,26312,0.05,W,1,0
263,26313,0.05,W,1,0
264,26314,0.05,W,1,0
265,26315,0.05,W,1,0
266,26316,0.05,W,1,0
267,26317,0.05,W,1,0
268,26318,0.05,W,1,0
269,26319,0.05,W,1,0
270,26320,0.05,W,1,0
271,26321,0.05,W,1,0
272,26322,0.05,W,1,0
273,26323,0.05,W,1,0
274,26324,0.05,W,1,0
275,26325,0.05,W,1,0
276,26326,0.05,W,1,0
277,26327,0.05,W,1,0
278,26328,0.05,W,1,0
279,26329,0.05,W,1,0
280,26330,0.05,W,1,0
281,26331,0.05,W,1,0
282,26332,0.05,W,1,0
283,26333,0.05,W,1,0
284,26334,0.05,W,1,0
285,26335,0.05,W,1,0
